season,week_day,year,month,day,home,visitor,home_current_points,visitor_current_points,home_last_table_position,visitor_last_table_position,home_penultimate_table_position,visitor_penultimate_table_position,home_value,visitor_value,result
2020,27,2021,3,6,48,30,,,21,13,21,14,118150000.0,268050000.0,
2020,27,2021,3,6,49,22,,,16,21,9,21,262850000.0,195530000.0,
2020,28,2021,3,13,1,46,,,8,6,5,4,556700000.0,737150000.0,
2020,28,2021,3,13,15,48,,,14,21,12,21,207980000.0,118150000.0,
2020,28,2021,3,13,17,10,,,12,9,8,15,507300000.0,152080000.0,
2020,28,2021,3,13,18,26,,,21,2,19,1,216300000.0,1060000000.0,
2020,28,2021,3,13,22,13,,,21,4,21,3,195530000.0,823050000.0,
2020,28,2021,3,13,23,39,,,5,10,10,21,480500000.0,172300000.0,
2020,28,2021,3,13,27,49,,,3,16,6,9,765350000.0,262850000.0,
2020,28,2021,3,13,30,2,,,13,17,14,21,268050000.0,323500000.0,
2020,28,2021,3,13,41,9,,,11,15,16,17,240500000.0,252450000.0,
2020,28,2021,3,13,52,24,,,7,1,7,2,422600000.0,1110000000.0,
2020,29,2021,3,20,9,30,,,15,13,17,14,252450000.0,268050000.0,
2020,29,2021,3,20,10,23,,,9,5,15,10,152080000.0,480500000.0,
2020,29,2021,3,20,15,27,,,14,3,12,6,207980000.0,765350000.0,
2020,29,2021,3,20,18,22,,,21,21,19,21,216300000.0,195530000.0,
2020,29,2021,3,20,24,13,,,1,4,2,3,1110000000.0,823050000.0,
2020,29,2021,3,20,26,52,,,2,7,1,7,1060000000.0,422600000.0,
2020,29,2021,3,20,39,2,,,10,17,21,21,172300000.0,323500000.0,
2020,29,2021,3,20,46,41,,,6,11,4,16,737150000.0,240500000.0,
2020,29,2021,3,20,48,17,,,21,12,21,8,118150000.0,507300000.0,
2020,29,2021,3,20,49,1,,,16,8,9,5,262850000.0,556700000.0,
2020,30,2021,4,3,1,24,,,8,1,5,2,556700000.0,1110000000.0,
2020,30,2021,4,3,2,18,,,17,21,21,19,323500000.0,216300000.0,
2020,30,2021,4,3,13,48,,,4,21,3,21,823050000.0,118150000.0,
2020,30,2021,4,3,17,15,,,12,14,8,12,507300000.0,207980000.0,
2020,30,2021,4,3,22,39,,,21,10,21,21,195530000.0,172300000.0,
2020,30,2021,4,3,23,26,,,5,2,10,1,480500000.0,1060000000.0,
2020,30,2021,4,3,27,9,,,3,15,6,17,765350000.0,252450000.0,
2020,30,2021,4,3,30,46,,,13,6,14,4,268050000.0,737150000.0,
2020,30,2021,4,3,41,10,,,11,9,16,15,240500000.0,152080000.0,
2020,30,2021,4,3,52,49,,,7,16,7,9,422600000.0,262850000.0,
2020,31,2021,4,10,9,17,,,15,12,17,8,252450000.0,507300000.0,
2020,31,2021,4,10,10,30,,,9,13,15,14,152080000.0,268050000.0,
2020,31,2021,4,10,15,13,,,14,4,12,3,207980000.0,823050000.0,
2020,31,2021,4,10,18,52,,,21,7,19,7,216300000.0,422600000.0,
2020,31,2021,4,10,24,2,,,1,17,2,21,1110000000.0,323500000.0,
2020,31,2021,4,10,26,22,,,2,21,1,21,1060000000.0,195530000.0,
2020,31,2021,4,10,39,1,,,10,8,21,5,172300000.0,556700000.0,
2020,31,2021,4,10,46,27,,,6,3,4,6,737150000.0,765350000.0,
2020,31,2021,4,10,48,41,,,21,11,21,16,118150000.0,240500000.0,
2020,31,2021,4,10,49,23,,,16,5,9,10,262850000.0,480500000.0,
2020,32,2021,4,17,1,18,,,8,21,5,19,556700000.0,216300000.0,
2020,32,2021,4,17,2,26,,,17,2,21,1,323500000.0,1060000000.0,
2020,32,2021,4,17,13,9,,,4,15,3,17,823050000.0,252450000.0,
2020,32,2021,4,17,17,46,,,12,6,8,4,507300000.0,737150000.0,
2020,32,2021,4,17,22,24,,,21,1,21,2,195530000.0,1110000000.0,
2020,32,2021,4,17,23,48,,,5,21,10,21,480500000.0,118150000.0,
2020,32,2021,4,17,27,10,,,3,9,6,15,765350000.0,152080000.0,
2020,32,2021,4,17,30,49,,,13,16,14,9,268050000.0,262850000.0,
2020,32,2021,4,17,41,15,,,11,14,16,12,240500000.0,207980000.0,
2020,32,2021,4,17,52,39,,,7,10,7,21,422600000.0,172300000.0,
2020,33,2021,4,24,1,17,,,8,12,5,8,556700000.0,507300000.0,
2020,33,2021,4,24,2,48,,,17,21,21,21,323500000.0,118150000.0,
2020,33,2021,4,24,18,46,,,21,6,19,4,216300000.0,737150000.0,
2020,33,2021,4,24,22,27,,,21,3,21,6,195530000.0,765350000.0,
2020,33,2021,4,24,23,15,,,5,14,10,12,480500000.0,207980000.0,
2020,33,2021,4,24,24,30,,,1,13,2,14,1110000000.0,268050000.0,
2020,33,2021,4,24,26,41,,,2,11,1,16,1060000000.0,240500000.0,
2020,33,2021,4,24,39,9,,,10,15,21,17,172300000.0,252450000.0,
2020,33,2021,4,24,49,13,,,16,4,9,3,262850000.0,823050000.0,
2020,33,2021,4,24,52,10,,,7,9,7,15,422600000.0,152080000.0,
2020,34,2021,5,1,9,22,,,15,21,17,21,252450000.0,195530000.0,
2020,34,2021,5,1,10,49,,,9,16,15,9,152080000.0,262850000.0,
2020,34,2021,5,1,13,18,,,4,21,3,19,823050000.0,216300000.0,
2020,34,2021,5,1,15,26,,,14,2,12,1,207980000.0,1060000000.0,
2020,34,2021,5,1,17,2,,,12,17,8,21,507300000.0,323500000.0,
2020,34,2021,5,1,27,24,,,3,1,6,2,765350000.0,1110000000.0,
